iter	Accuracy	MultiClass
76	0.7801798379	0.8251125966
77	0.7812563323	0.8203595966
78	0.7825101317	0.8152149823
79	0.7835486322	0.8099141872
80	0.7848784195	0.8044248571
81	0.7858535968	0.8002498793
82	0.7868161094	0.7954506732
83	0.7880699088	0.7902927016
84	0.7889944276	0.7851828161
85	0.7900582573	0.7817031072
86	0.7912613982	0.776952185
87	0.7918439716	0.7732359541
88	0.7929078014	0.7694610008
89	0.7938196555	0.7653157552
90	0.7941362715	0.7627447343
91	0.7955167173	0.7574240517
92	0.7965552178	0.753337578
93	0.7972011145	0.7501468307
94	0.7984042553	0.7461808194
95	0.7991388045	0.7426830535
96	0.8000253293	0.7404853921
97	0.8005952381	0.7370513452
98	0.8009878419	0.7342935703
99	0.8016970618	0.7312931389
100	0.8021783181	0.7286835304
101	0.8026595745	0.7257800132
102	0.8033181358	0.7227924444
103	0.8038247214	0.719945077
104	0.804331307	0.7164975245
105	0.8049392097	0.7131442641
106	0.8058004053	0.7100303951
107	0.8065096251	0.7061559057
108	0.8070035461	0.7033609284
109	0.8069148936	0.7024782129
110	0.8078900709	0.6990099318
111	0.8084599797	0.6973568005
112	0.809118541	0.6948447493
113	0.8097264438	0.6923145916
114	0.810245694	0.6891434844
115	0.8111828774	0.6861798597
116	0.8119934144	0.6826651251
117	0.8128546099	0.6799735428
118	0.8134118541	0.6764171535
119	0.8139690983	0.6732999699
120	0.8142477204	0.6726408644
121	0.8150075988	0.6701066501
122	0.8152735562	0.6682098729
123	0.8155015198	0.6664533466
124	0.8161220871	0.6641542197
125	0.8168946302	0.662155878
126	0.8172619048	0.6608775408
127	0.8173378926	0.6605165986
128	0.818275076	0.6571264327
129	0.8186043566	0.6559723673
130	0.8189589666	0.6538405027
131	0.8190982776	0.6536844209
132	0.8192502533	0.6532612933
133	0.8198074975	0.6503280439
134	0.8204280648	0.6476474936
135	0.820845998	0.6465077254
136	0.8209093212	0.6453061182
137	0.8209473151	0.6449982091
138	0.8212259372	0.64412519
139	0.822112462	0.6414723931
140	0.822922999	0.6390174812
141	0.8227077001	0.638576346
142	0.8230749747	0.6364962283
143	0.82306231	0.6362836009
144	0.8233662614	0.6355859573
145	0.8239868288	0.6338814748
146	0.8242907801	0.6327007939
147	0.8244934144	0.6300669445
148	0.8245440729	0.6300608595
149	0.8250759878	0.6278714104
150	0.8255319149	0.6262830864
151	0.8258865248	0.6249112486
152	0.8258865248	0.6249047678
153	0.8258865248	0.6248990786
154	0.826127153	0.6240652902
155	0.8261144883	0.6240576221
156	0.8262411348	0.6234394789
157	0.8264690983	0.6230446983
158	0.8265070922	0.6229212675
159	0.826760385	0.6219861619
160	0.8269756839	0.6204552246
161	0.8275962513	0.6188593809
162	0.8275582573	0.6188539886
163	0.8279381966	0.6169283696
164	0.8281788247	0.615107976
165	0.8282168186	0.6150315923
166	0.828204154	0.6149805875
167	0.8285840932	0.6130770327
168	0.8287613982	0.6127585862
169	0.8293946302	0.6108002667
170	0.8297112462	0.6094331782
171	0.8297112462	0.6094261533
172	0.8296352584	0.6089228328
173	0.8297745694	0.6086352069
174	0.8297492401	0.608629864
175	0.8297492401	0.608623779
176	0.8297492401	0.6086189803
177	0.8297492401	0.608614429
178	0.8302938197	0.6068299515
179	0.8304964539	0.6051807284
180	0.8305217832	0.6051765233
181	0.8305471125	0.6051717246
182	0.8308383992	0.6043925029
183	0.8310410334	0.6032459077
184	0.8317122594	0.600940498
185	0.8325101317	0.5992795996
186	0.8325101317	0.5992741578
187	0.8326241135	0.5988980773
188	0.8326621074	0.5976612961
189	0.832674772	0.5976553595
190	0.8327001013	0.5976512039
191	0.8330927052	0.5954485954
192	0.8330800405	0.5954449345
193	0.8330673759	0.5954413231
194	0.8332066869	0.5951577045
195	0.8332066869	0.59515251
196	0.8333839919	0.5943774439
197	0.8333839919	0.5943739314
198	0.8333713273	0.5943695285
199	0.8339159068	0.5926768201
200	0.8343591692	0.5909395877
201	0.8343718338	0.5907667351
202	0.8350937183	0.5889095844
203	0.835422999	0.5871528602
204	0.8354356636	0.587148111
205	0.8355749747	0.5868107665
206	0.8363221884	0.5845294492
207	0.8368034448	0.5831474698
208	0.8373100304	0.5816716929
209	0.8372593718	0.5809056306
210	0.8372467072	0.5809027118
211	0.8375126646	0.5802902083
212	0.8381079027	0.5784939566
213	0.8381458967	0.5784896526
214	0.8381585613	0.5784853486
215	0.8381838906	0.5776897519
216	0.8381585613	0.5776852995
217	0.8384245187	0.5767133873
218	0.838766464	0.5757777375
219	0.8387791287	0.5757739777
220	0.8388931104	0.5747394844
221	0.8389184397	0.5747363677
222	0.8395896657	0.5721915171
223	0.839577001	0.5721873615
224	0.839577001	0.5721836511
225	0.8396023303	0.5721806334
226	0.8396276596	0.5721775662
227	0.8399062817	0.5711687979
228	0.8400075988	0.5700766705
229	0.8402355623	0.5687350597
230	0.840210233	0.5687315967
231	0.8409827761	0.5663721643
232	0.8409701114	0.5663696413
233	0.8409827761	0.5663663267
234	0.8409321175	0.5663628142
235	0.8415020263	0.5645844217
236	0.8417679838	0.5643035239
237	0.842147923	0.5629888254
238	0.8422492401	0.5627012491
239	0.8424012158	0.5618550433
240	0.842641844	0.561394367
241	0.8426291793	0.5613911019
242	0.8426291793	0.5613878863
243	0.8426291793	0.5613758153
244	0.8426165147	0.5613721544
245	0.8426291793	0.5613694335
246	0.8427558257	0.5609978549
247	0.8428318136	0.5603423608
248	0.8428191489	0.5603387989
249	0.8428191489	0.5603082752
250	0.8430597771	0.5596866689
251	0.8430597771	0.5595730334
252	0.8437816616	0.5574048569
253	0.8437816616	0.5573071017
254	0.843768997	0.5573032429
255	0.8437563323	0.55729978
256	0.8437816616	0.5572941897
257	0.8437816616	0.5572913204
258	0.843768997	0.5572883521
259	0.8441109422	0.5553583302
260	0.8443389058	0.5547802091
261	0.8443515704	0.5547773398
262	0.8445795339	0.5535168618
263	0.8448454914	0.5529601618
264	0.8453014184	0.5517261014
265	0.845352077	0.5497822276
266	0.8455167173	0.5492079158
267	0.8457573455	0.5482661316
268	0.8457573455	0.5482626686
269	0.8458080041	0.5482597003
