iter	Accuracy	MultiClass	Precision:class=0	Precision:class=1
43	0.7302176051	0.5276347925	0.6271131364	0.7511311557
44	0.7302519063	0.527546739	0.6266140142	0.7513937606
45	0.7303355676	0.527449901	0.626584321	0.7515562485
46	0.7304292682	0.5272981603	0.6266839034	0.7516843317
47	0.7305229689	0.5272031002	0.6269204001	0.7517566415
48	0.7307024224	0.5269898684	0.627294209	0.7519271059
49	0.7308143194	0.5268366114	0.627466037	0.7520581408
50	0.7308699542	0.5267285837	0.6275934971	0.7521061696
51	0.7309670013	0.52662636	0.6275311219	0.7523057834
52	0.7309849884	0.5265149336	0.6274231985	0.752382219
53	0.730995237	0.5264543838	0.627417795	0.7524028615
54	0.7310964671	0.5263546177	0.6276416057	0.7524932512
55	0.7311581673	0.5262638974	0.6277696924	0.7525517094
56	0.7312012529	0.5261810205	0.6278030459	0.7526154607
57	0.7312211225	0.5261253334	0.6279621894	0.7525860661
58	0.7312562602	0.5260568357	0.6280396768	0.7526174729
59	0.7312995549	0.5259902727	0.6281345081	0.7526564202
60	0.7314112428	0.5258720488	0.6282664628	0.7528028344
61	0.7314313215	0.5258222181	0.6282421486	0.7528487974
62	0.7315020153	0.5257457725	0.6284331058	0.7528974848
63	0.731548029	0.5256834449	0.6285359786	0.7529379167
64	0.7316440304	0.5255880187	0.6286966392	0.7530442678
65	0.7316952729	0.5255298218	0.6287937044	0.7530963792
66	0.7317496528	0.5253865518	0.6287723563	0.7532025361
67	0.7317873003	0.5253108383	0.6287621973	0.7532741842
68	0.731820974	0.5252297915	0.6288914751	0.7532815358
69	0.7318565301	0.5251503655	0.628972631	0.7533119844
70	0.7318929227	0.5250860509	0.6290399193	0.7533496009
71	0.7319236683	0.5250388868	0.6291062976	0.753377468
72	0.7319872509	0.5249642191	0.6291446267	0.7534756129
73	0.7320294998	0.524903617	0.6292114988	0.7535238443
74	0.7320855529	0.5247990926	0.6292247782	0.7536187858
75	0.7321738156	0.5247277713	0.6293981059	0.7537056535
76	0.7322133455	0.5246882937	0.6295133078	0.75372911
77	0.7322725359	0.5246425414	0.6296473792	0.7537799921
78	0.7323405107	0.5245828281	0.6297656878	0.7538530204
79	0.7323988645	0.524482696	0.6298498609	0.753922817
80	0.7324749963	0.5244086558	0.6300159924	0.7539907253
81	0.732486918	0.5243545374	0.6301125909	0.7539724212
82	0.7324934017	0.5243088897	0.6298371254	0.7540971612
83	0.7325942136	0.524231869	0.6300741591	0.7541799254
84	0.7326101093	0.5241798944	0.6299741869	0.7542495429
85	0.7326209852	0.5241510835	0.6299901156	0.7542624378
86	0.7326724369	0.5241040763	0.6301162761	0.7543024761
87	0.7326745285	0.5240693569	0.6301450974	0.7542943395
88	0.7327406209	0.5240049377	0.6302297533	0.754377646
89	0.7327581898	0.523964728	0.630253583	0.7543992393
90	0.7327782685	0.5239114462	0.6302649112	0.7544304753
91	0.732793955	0.5238531447	0.6302791061	0.7544526738
92	0.7328188442	0.5238111572	0.6302921777	0.7544917963
93	0.7328907929	0.5237510779	0.6303995554	0.7545761398
94	0.7329016689	0.5237017178	0.6303211253	0.7546280244
95	0.7329434995	0.5236583185	0.6304045882	0.7546683443
96	0.7329884675	0.5235912848	0.6304443987	0.75473233
97	0.7330292524	0.5235484607	0.6305804759	0.7547489741
98	0.7330501677	0.5235130615	0.6306068412	0.7547754699
99	0.7330357361	0.5234812179	0.6304195195	0.7548272549
100	0.7330834231	0.5234309689	0.6305138765	0.7548734821
101	0.7331110313	0.5234026809	0.6305533877	0.7549065082
102	0.7331591366	0.5233347584	0.6306214115	0.7549643813
103	0.7331695942	0.5232904702	0.6305652695	0.7550064241
104	0.7331936468	0.523232587	0.6305657972	0.7550492827
105	0.7332848377	0.5231660763	0.630819262	0.7551071769
106	0.7333137008	0.5231286901	0.6308088978	0.7551631341
107	0.7333733095	0.5230573689	0.6309484423	0.7552117893
108	0.7334235063	0.5229980216	0.6310229571	0.7552706102
109	0.733472239	0.5229576028	0.631160752	0.7553004991
110	0.7334942001	0.5229315109	0.6312164882	0.7553166084
111	0.7335485799	0.5228530261	0.6313089523	0.7553753937
112	0.7336489735	0.5227550378	0.6315389186	0.755459259
113	0.7337060723	0.5226707491	0.6315930709	0.7555387267
114	0.7337430925	0.5226197157	0.6316473515	0.755582282
115	0.7337332622	0.5225729176	0.6315587166	0.7556015599
116	0.7337499945	0.5225484467	0.6315874381	0.7556195054
117	0.7337928709	0.522482668	0.6316866864	0.7556548159
118	0.7338129496	0.5224508767	0.6317064379	0.7556824574
119	0.7338244531	0.5224110853	0.6317260806	0.7556948305
120	0.7338282178	0.522362248	0.6316724355	0.7557238725
121	0.7338512247	0.5223380385	0.6317113885	0.755748754
122	0.7338788329	0.5223073453	0.6317390125	0.7557865672
123	0.7339284022	0.5222629525	0.6318517115	0.7558281701
