iter	Passed	Remaining
401	17162	25530
402	17207	25490
403	17247	25444
404	17284	25392
405	17324	25346
406	17362	25297
407	17403	25252
408	17448	25213
409	17493	25174
410	17544	25142
411	17586	25099
412	17630	25058
413	17669	25011
414	17710	24965
415	17756	24927
416	17797	24881
417	17842	24843
418	17886	24802
419	17929	24760
420	17975	24721
421	18016	24676
422	18058	24633
423	18100	24588
424	18139	24541
425	18189	24509
426	18230	24464
427	18272	24419
428	18315	24378
429	18358	24335
430	18398	24290
431	18438	24243
432	18483	24203
433	18528	24164
434	18566	24115
435	18607	24069
436	18649	24027
437	18691	23982
438	18734	23941
439	18781	23903
440	18825	23863
441	18868	23820
442	18907	23772
443	18945	23724
444	18986	23679
445	19029	23637
446	19072	23595
447	19117	23555
448	19157	23509
449	19198	23464
450	19237	23417
451	19281	23376
452	19318	23326
453	19370	23295
454	19411	23251
455	19460	23216
456	19493	23162
457	19536	23120
458	19579	23077
459	19626	23039
460	19665	22993
461	19705	22947
462	19749	22906
463	19790	22861
464	19830	22815
465	19867	22767
466	19912	22727
467	19959	22688
468	20002	22646
469	20048	22608
470	20095	22570
471	20137	22527
472	20179	22483
473	20223	22442
474	20266	22399
475	20306	22354
476	20347	22309
477	20391	22268
478	20439	22231
479	20484	22191
480	20528	22150
481	20576	22113
482	20620	22071
483	20666	22032
484	20707	21988
485	20751	21946
486	20791	21901
487	20844	21870
488	20891	21831
489	20940	21794
490	20983	21752
491	21023	21707
492	21069	21667
493	21108	21621
494	21149	21577
495	21189	21530
496	21240	21497
497	21278	21449
498	21321	21407
499	21367	21367
500	21407	21322
501	21450	21279
502	21488	21232
503	21535	21193
504	21576	21149
505	21616	21103
506	21658	21060
507	21699	21016
508	21738	20969
509	21782	20928
510	21825	20886
511	21866	20841
512	21910	20800
513	21952	20757
514	21996	20715
515	22035	20669
516	22078	20626
517	22120	20582
518	22168	20545
519	22212	20503
520	22256	20462
521	22297	20417
522	22340	20375
523	22377	20327
524	22424	20288
525	22465	20244
526	22508	20202
527	22552	20160
528	22595	20117
529	22640	20077
530	22685	20037
531	22732	19997
532	22777	19956
533	22815	19909
534	22858	19867
535	22905	19828
536	22943	19781
537	22981	19734
538	23029	19697
539	23069	19651
540	23111	19608
541	23160	19570
542	23202	19527
543	23244	19484
544	23290	19444
545	23335	19403
546	23375	19358
547	23410	19309
548	23452	19265
549	23499	19227
550	23542	19184
551	23585	19141
552	23626	19097
553	23662	19049
554	23708	19009
555	23752	18967
556	23797	18926
557	23842	18885
558	23881	18840
559	23925	18798
560	23969	18756
561	24009	18712
562	24054	18670
563	24097	18628
564	24141	18586
565	24183	18543
566	24222	18498
567	24262	18453
568	24297	18404
569	24342	18363
570	24387	18322
571	24428	18278
572	24473	18237
573	24513	18192
574	24555	18150
575	24606	18112
576	24651	18072
577	24693	18028
578	24735	17985
579	24777	17942
580	24819	17899
581	24864	17858
582	24905	17814
583	24946	17769
584	24987	17726
585	25031	17684
586	25072	17640
587	25112	17595
588	25152	17550
589	25204	17515
590	25237	17465
591	25274	17419
592	25320	17378
593	25362	17335
594	25404	17292
595	25447	17249
596	25491	17208
597	25541	17170
598	25587	17129
599	25628	17085
600	25674	17045
601	25721	17005
602	25762	16961
603	25809	16921
604	25856	16881
605	25897	16837
606	25938	16793
607	25978	16749
608	26029	16711
609	26071	16668
610	26114	16625
611	26161	16585
612	26205	16544
613	26251	16503
614	26298	16463
615	26341	16420
616	26381	16376
617	26419	16330
618	26461	16287
619	26500	16242
620	26543	16199
621	26588	16158
622	26628	16113
623	26666	16068
624	26709	16025
625	26752	15982
626	26801	15943
627	26840	15899
628	26888	15859
629	26929	15815
630	26970	15771
631	27013	15729
632	27052	15684
633	27091	15639
634	27141	15601
635	27188	15560
636	27238	15522
637	27278	15477
638	27315	15431
639	27354	15386
640	27396	15343
641	27438	15300
642	27478	15256
643	27518	15211
644	27557	15167
645	27606	15128
646	27647	15084
647	27689	15041
648	27731	14998
649	27773	14954
650	27818	14913
651	27865	14872
652	27911	14832
653	27958	14791
654	27997	14746
655	28033	14700
656	28078	14659
657	28117	14614
658	28160	14571
659	28205	14530
660	28244	14485
661	28299	14448
662	28341	14405
663	28383	14362
664	28422	14317
665	28463	14274
666	28501	14229
667	28543	14186
668	28582	14141
669	28629	14101
670	28672	14058
671	28715	14016
672	28757	13972
673	28801	13930
674	28842	13887
675	28887	13845
676	28931	13803
677	28972	13759
678	29012	13715
679	29055	13673
680	29103	13632
681	29145	13590
682	29186	13546
683	29230	13504
684	29272	13460
685	29317	13419
686	29364	13378
687	29404	13334
688	29451	13293
689	29499	13253
690	29542	13210
691	29600	13174
692	29645	13132
693	29685	13088
694	29733	13048
695	29772	13004
696	29818	12962
697	29857	12918
698	29900	12875
699	29941	12832
700	29983	12789
701	30025	12745
702	30069	12703
703	30111	12660
704	30157	12619
705	30194	12573
706	30238	12531
707	30274	12486
708	30315	12442
709	30356	12398
710	30400	12356
711	30442	12313
712	30479	12268
713	30519	12225
714	30560	12181
715	30611	12142
716	30665	12103
717	30704	12059
718	30744	12015
719	30786	11972
720	30834	11931
721	30872	11887
722	30917	11845
723	30958	11801
724	30997	11757
725	31038	11714
726	31078	11670
727	31121	11627
728	31161	11584
729	31206	11542
730	31247	11498
731	31286	11454
732	31326	11410
733	31371	11368
734	31412	11325
735	31450	11281
736	31486	11236
737	31525	11192
738	31567	11149
739	31616	11108
740	31660	11066
741	31704	11024
742	31744	10980
743	31786	10937
744	31830	10895
745	31875	10852
746	31921	10811
747	31966	10769
748	32017	10729
749	32056	10685
750	32099	10642
751	32138	10598
752	32177	10554
753	32220	10512
754	32263	10469
755	32302	10425
756	32344	10382
757	32385	10339
758	32429	10297
759	32472	10254
760	32516	10212
761	32560	10169
762	32605	10127
763	32646	10084
764	32693	10043
765	32739	10001
766	32780	9958
767	32828	9917
768	32871	9874
769	32913	9831
770	32955	9788
771	32999	9746
772	33046	9704
773	33089	9661
774	33129	9618
775	33167	9574
776	33208	9530
777	33256	9489
778	33293	9445
779	33330	9400
780	33373	9358
781	33418	9316
782	33458	9272
783	33505	9230
784	33544	9187
785	33581	9143
786	33620	9099
787	33664	9056
788	33714	9016
789	33756	8973
790	33793	8928
791	33833	8885
792	33875	8842
793	33918	8799
794	33967	8759
795	34014	8717
796	34059	8675
797	34106	8633
798	34144	8589
799	34197	8549
800	34239	8506
801	34276	8462
802	34323	8420
803	34368	8378
804	34410	8335
805	34450	8292
806	34493	8249
807	34537	8206
808	34578	8163
809	34627	8122
810	34671	8080
811	34713	8037
812	34752	7993
813	34796	7951
814	34832	7906
815	34874	7863
816	34916	7821
817	34955	7777
818	35004	7736
819	35039	7691
820	35074	7647
821	35104	7601
822	35137	7556
823	35172	7512
824	35199	7466
825	35237	7422
826	35265	7377
827	35294	7331
828	35334	7288
829	35366	7243
830	35395	7198
831	35427	7153
832	35460	7109
833	35494	7064
834	35526	7020
835	35556	6975
836	35588	6930
837	35619	6885
838	35651	6841
839	35680	6796
840	35713	6752
841	35746	6707
842	35780	6663
843	35808	6618
844	35838	6573
845	35868	6529
846	35894	6483
847	35920	6438
848	35946	6393
849	35971	6347
850	35992	6301
851	36015	6256
852	36042	6211
853	36068	6166
854	36095	6121
855	36122	6076
856	36150	6032
857	36178	5987
858	36203	5942
859	36227	5897
860	36251	5852
861	36275	5807
862	36296	5761
863	36321	5717
864	36346	5672
865	36367	5627
866	36391	5582
867	36414	5537
868	36438	5493
869	36462	5448
870	36485	5403
871	36506	5358
872	36529	5314
873	36552	5269
874	36576	5225
875	36596	5180
876	36623	5136
877	36648	5092
878	36670	5047
879	36691	5003
880	36720	4960
881	36748	4916
882	36776	4873
883	36802	4829
884	36826	4785
885	36851	4741
886	36875	4697
887	36898	4653
888	36923	4610
889	36946	4566
890	36965	4522
891	36983	4477
892	37002	4433
893	37025	4390
894	37047	4346
895	37067	4302
896	37087	4258
897	37106	4214
898	37126	4171
899	37147	4127
900	37166	4083
901	37184	4039
902	37201	3996
903	37221	3952
904	37241	3909
905	37259	3865
906	37277	3822
907	37297	3779
908	37317	3735
909	37338	3692
910	37356	3649
911	37375	3606
912	37395	3563
913	37416	3520
914	37436	3477
915	37454	3434
916	37473	3391
917	37493	3349
918	37516	3306
919	37535	3263
920	37555	3221
921	37573	3178
922	37591	3136
923	37609	3093
924	37630	3051
925	37646	3008
926	37665	2966
927	37683	2923
928	37700	2881
929	37717	2838
930	37735	2796
931	37753	2754
932	37771	2712
933	37790	2670
934	37809	2628
935	37825	2586
936	37846	2544
937	37864	2502
938	37883	2461
939	37902	2419
940	37919	2377
941	37932	2335
942	37949	2293
943	37964	2252
944	37979	2210
945	37994	2168
946	38011	2127
947	38026	2085
948	38040	2044
949	38054	2002
950	38068	1961
951	38085	1920
952	38101	1879
953	38118	1838
954	38132	1796
955	38152	1755
956	38170	1715
957	38191	1674
958	38209	1633
959	38226	1592
960	38241	1551
961	38256	1511
962	38276	1470
963	38292	1430
964	38306	1389
965	38323	1348
966	38338	1308
967	38352	1267
968	38365	1227
969	38382	1187
970	38397	1146
971	38410	1106
972	38424	1066
973	38439	1026
974	38452	985
975	38469	945
976	38483	905
977	38496	865
978	38508	826
979	38520	786
980	38534	746
981	38547	706
982	38562	666
983	38577	627
984	38592	587
985	38605	548
986	38618	508
987	38631	469
988	38644	429
989	38657	390
990	38672	351
991	38685	311
992	38699	272
993	38712	233
994	38726	194
995	38739	155
996	38751	116
997	38765	77
998	38777	38
999	38790	0
